,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county,median_income
44,130000.0,10901 Whitehill St,3.0,House for sale,Detroit,MI 48224,2.0,1031.0,MI,48224,163,55023
45,269900.0,7515 County Road 612 NE,3.0,House for sale,Kalkaska,MI 49646,1.0,1346.0,MI,49646,79,47183
46,199900.0,33726 Donnelly St,3.0,House for sale,Garden City,MI 48135,1.0,1360.0,MI,48135,163,55023
47,325000.0,4709 Thornbird Dr,4.0,House for sale,Middleville,MI 49333,3.0,3226.0,MI,49333,15,60838
48,569900.0,6045 Fred W Moore Hwy,4.0,House for sale,China,MI 48054,3.0,2709.0,MI,48054,147,69662
49,189000.0,11639 Island Ct,2.0,House for sale,Hartland,MI 48353,1.0,882.0,MI,48353,93,106354
50,189900.0,13303 Tireman Ave,3.0,House for sale,Dearborn,MI 48126,2.0,1410.0,MI,48126,163,55023
51,179900.0,26755 S Raber Bay Dr,6.0,House for sale,Goetzville,MI 49736,2.0,2122.0,MI,49736,33,46204
52,0.0,46880 Reeder Rd,3.0,Auction,Decatur,MI 49045,6.0,8305.0,MI,49045,159,NA
53,550000.0,38740 N Jacobs St,4.0,House for sale,Lake Linden,MI 49945,3.0,2992.0,MI,49945,61,NA
54,145000.0,19 E Dexter Trl,3.0,House for sale,Mason,MI 48854,2.0,1398.0,MI,48854,65,64813
55,595000.0,3586 High View Dr,4.0,House for sale,Oxford,MI 48371,4.0,3109.0,MI,48371,125,59762
56,144900.0,53 N Widenmier St,4.0,House for sale,Midland,MI 48640,2.0,1304.0,MI,48640,111,46375
57,130000.0,433 Garland St,3.0,House for sale,Kalamazoo,MI 49001,1.0,796.0,MI,49001,77,68056
58,124900.0,909 N Berkley St,3.0,House for sale,Kalamazoo,MI 49006,1.0,726.0,MI,49006,77,68056
59,209900.0,133 Gaunt Ave,4.0,House for sale,Jackson,MI 49203,2.0,2225.0,MI,49203,75,66875
60,15.0,3750 Four Mile Rd N,3.0,Auction,Traverse City,MI 49686,2.0,1196.0,MI,49686,55,NA
61,99900.0,27539 Hanover Blvd,3.0,House for sale,Westland,MI 48186,1.0,840.0,MI,48186,163,55023
62,697500.0,13628 Driftwood Ct,3.0,House for sale,Plymouth,MI 48170,4.0,3577.0,MI,48170,161,NA
63,575000.0,12386 Hibner Rd,5.0,House for sale,Hartland,MI 48353,4.0,2564.0,MI,48353,93,106354
64,169900.0,4900 Fehn Rd,3.0,House for sale,Hemlock,MI 48626,1.0,1038.0,MI,48626,111,46375
65,399900.0,266 W Lake Dr,3.0,House for sale,Cadillac,MI 49601,2.0,1468.0,MI,49601,165,50000
66,589900.0,2584 W Taylor Rd,4.0,House for sale,Tecumseh,MI 49286,4.0,3650.0,MI,49286,91,36976
67,265000.0,7405 Creyts Rd,4.0,House for sale,Dimondale,MI 48821,2.0,2325.0,MI,48821,65,64813
68,200000.0,1005 Decamp Rd,3.0,House for sale,Leslie,MI 49251,3.0,4211.0,MI,49251,65,64813
69,429000.0,3028 N Branch Rd,4.0,House for sale,North Branch,MI 48461,2.0,2192.0,MI,48461,87,80929
70,439900.0,10691 Luce St,4.0,House for sale,Zeeland,MI 49464,2.0,3018.0,MI,49464,139,75882
71,469000.0,65633 Mount Vernon Rd,3.0,House for sale,Washington,MI 48095,3.0,1900.0,MI,48095,99,77656
