,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county
212,"$1,200,000",3131 N 168th Ave,7.0, House for sale, Holland, MI 49424,4.0,4864.0,MI,49424,26139
213,"$274,900",196 Ann St,4.0, House for sale, Holland, MI 49424,2.0,2013.0,MI,49424,26139
214,"$460,000",2504 Lakeshore Dr,3.0, House for sale, Holland, MI 49424,3.0,2093.0,MI,49424,26139
215,"$199,900",6098 W Beard Rd,3.0, House for sale, Perry, MI 48872,1.0,1500.0,MI,48872,26065
216,"$199,900",6098 W Beard Rd,3.0, House for sale, Perry, MI 48872,1.0,1500.0,MI,48872,26093
217,"$199,900",6098 W Beard Rd,3.0, House for sale, Perry, MI 48872,1.0,1500.0,MI,48872,26155
218,"$243,900",13266 Heather Ln,3.0, House for sale, Perry, MI 48872,2.0,2000.0,MI,48872,26065
219,"$243,900",13266 Heather Ln,3.0, House for sale, Perry, MI 48872,2.0,2000.0,MI,48872,26093
220,"$243,900",13266 Heather Ln,3.0, House for sale, Perry, MI 48872,2.0,2000.0,MI,48872,26155
221,"$214,900",17287 Trowbridge Rd,3.0, House for sale, Wolverine, MI 49799,2.0,1800.0,MI,49799,26031
222,"$214,900",17287 Trowbridge Rd,3.0, House for sale, Wolverine, MI 49799,2.0,1800.0,MI,49799,26047
223,"$339,000",17850 Old Us Highway 12,3.0, House for sale, Chelsea, MI 48118,2.0,1453.0,MI,48118,26161
224,"$339,000",17850 Old Us Highway 12,3.0, House for sale, Chelsea, MI 48118,2.0,1453.0,MI,48118,26075
225,"$159,900",13852 E 638th Hwy,3.0, House for sale, Presque Isle, MI 49777,2.0,1232.0,MI,49777,26141
226,"$272,000",1765 Orr Rd,3.0, House for sale, Caro, MI 48723,2.0,2110.0,MI,48723,26157
227,"$229,000",670 Thirteen Mile Rd NW,3.0, House for sale, Sparta, MI 49345,1.0,1593.0,MI,49345,26139
228,"$229,000",670 Thirteen Mile Rd NW,3.0, House for sale, Sparta, MI 49345,1.0,1593.0,MI,49345,26081
229,"$350,000",4287 Lyons Rd,3.0, House for sale, Lyons, MI 48851,2.0,1764.0,MI,48851,26067
230,"$538,000",2568 Seymour Dr,4.0, House for sale, Shelbyville, MI 49344,2.0,2304.0,MI,49344,26005
231,"$538,000",2568 Seymour Dr,4.0, House for sale, Shelbyville, MI 49344,2.0,2304.0,MI,49344,26015
232,"$315,000",210 E Union City Rd,3.0, House for sale, Coldwater, MI 49036,2.0,1608.0,MI,49036,26023
233,"$195,000",7325 Hartel St,3.0, House for sale, Westland, MI 48185,2.0,1100.0,MI,48185,26163
234,"$219,900",27227 J Dr N,3.0, House for sale, Albion, MI 49224,2.0,1480.0,MI,49224,26075
235,"$219,900",27227 J Dr N,3.0, House for sale, Albion, MI 49224,2.0,1480.0,MI,49224,26025
236,"$259,900",11291 Suffolk Dr,3.0, Coming soon, Southgate, MI 48195,2.0,1742.0,MI,48195,26163
237,"$210,000",10209 Sargent Rd,4.0, House for sale, Fowlerville, MI 48836,2.0,1466.0,MI,48836,26093
238,"$210,000",10209 Sargent Rd,4.0, House for sale, Fowlerville, MI 48836,2.0,1466.0,MI,48836,26155
239,"$319,999",26243 Greythorne Trl,3.0, House for sale, Farmington, MI 48334,3.0,2325.0,MI,48334,26125
240,"$189,900",0 Shea Rd,6.0, Lot / Land for sale, Fair Haven, MI 48023,,,MI,48023,26147
241,"$175,000",405 E Woodruff Ave,3.0, House for sale, Hazel Park, MI 48030,1.0,1457.0,MI,48030,26125
242,"$421,900",605 S Classic Dr,4.0, House for sale, Gaylord, MI 49735,4.0,1840.0,MI,49735,26137
