zipcode,county
48332,26125
48724,26145
48874,26057
49877,26043
48633,26035
48089,26099
48380,26125
48380,26093
48357,26125
48316,26099
48168,26161
48168,26163
48193,26163
48103,26161
48217,26163
48635,26129
48701,26157
48756,26011
48756,26129
48647,26135
48616,26155
48616,26145
48827,26045
48827,26075
48827,26065
48847,26057
49125,26021
49101,26021
49316,26005
49316,26081
49316,26015
49423,26139
49423,26005
49709,26119
49639,26133
49639,26107
49688,26085
49688,26133
49688,26165
49457,26123
49457,26121
49755,26031
49755,26047
49721,26141
49721,26031
49816,26003
49759,26141
48749,26011
49716,26047
49716,26031
49089,26023
49052,26025
49052,26149
49052,26077
49917,26061
49917,26083
49955,26061
49263,26075
48121,26163
49929,26131
48758,26157
48070,26125
48377,26125
48108,26161
48420,26157
48420,26049
48420,26145
48454,26151
48198,26163
48198,26161
48221,26163
48653,26143
48653,26039
49004,26077
48915,26065
49036,26023
49320,26107
49344,26005
49344,26015
49309,26123
49309,26085
49945,26061
49945,26083
49546,26081
49684,26019
49684,26089
49684,26055
49650,26019
49650,26089
49664,26089
49664,26019
49733,26137
49733,26039
48159,26115
48876,26045
49030,26023
49030,26149
49724,26033
48889,26117
48889,26057
48894,26067
48894,26037
48330,26125
49910,26131
48951,26037
49458,26105
49311,26005
48816,26093
48045,26099
48017,26125
48051,26099
48079,26147
48374,26125
49234,26075
48236,26099
48236,26163
48317,26099
48317,26125
48170,26161
48170,26163
48464,26049
48464,26157
48464,26087
48223,26163
48651,26143
48727,26157
48727,26087
48734,26157
48734,26145
48766,26011
48766,26069
48765,26069
48765,26011
48759,26157
48759,26063
48840,26037
48840,26065
48840,26155
49048,26077
49082,26059
49082,26023
49007,26077
49010,26159
49010,26005
49021,26025
49021,26015
49021,26045
49435,26139
49435,26081
49449,26105
49449,26127
49431,26105
49774,26097
49774,26033
49880,26103
49880,26041
49892,26043
49892,26109
49858,26109
48145,26115
49613,26019
49613,26101
49847,26109
49760,26033
49760,26097
48844,26093
48531,26049
49881,26043
48859,26073
49833,26103
48812,26117
49764,26047
48670,26111
49964,26071
48044,26099
48094,26099
48371,26125
48371,26087
48507,26049
48604,26017
48604,26145
48228,26163
48160,26091
48160,26115
48160,26161
48131,26115
48120,26163
48471,26151
48423,26049
48423,26087
49038,26021
49038,26159
49061,26027
49009,26159
49009,26077
49617,26019
49648,26009
49454,26105
49727,26009
49727,26029
48242,26163
48140,26115
49919,26013
49451,26139
49451,26123
49451,26121
48606,26145
49952,26061
49952,26013
49066,26149
49752,26033
48825,26065
49628,26019
48012,26125
48059,26147
48001,26147
48064,26147
48335,26125
48346,26125
48336,26125
48240,26163
48229,26163
48182,26115
48117,26163
48117,26115
48422,26151
48428,26087
48428,26125
48209,26163
48214,26163
48707,26017
48632,26073
48632,26035
48632,26133
48755,26063
48871,26057
48871,26037
48895,26065
49055,26005
49055,26159
49319,26081
49348,26081
49348,26015
49348,26005
49525,26081
49636,26089
49444,26121
49725,26033
49814,26103
49841,26103
49874,26109
49795,26029
49795,26031
49795,26137
49870,26043
48037,26125
49654,26089
48440,26087
49027,26159
48852,26117
49351,26081
